date,hour,group,stay_hours,cumulative_parked,occupancy_rate,parking_vehicles,congestion_score
2026-02-09,0,weekday_special,4,408.0,0.1498347410943812,,
2026-02-09,1,weekday_special,4,408.0,0.1498347410943812,,
2026-02-09,2,weekday_special,4,408.0,0.1498347410943812,,
2026-02-09,3,weekday_special,4,408.0,0.1498347410943812,,
2026-02-09,4,weekday_special,4,408.0,0.1498347410943812,,
2026-02-09,5,weekday_special,4,408.0,0.1498347410943812,,
2026-02-09,6,weekday_special,4,408.0,0.1498347410943812,,
2026-02-09,7,weekday_special,4,408.0,0.1498347410943812,,
2026-02-09,8,weekday_special,4,408.0,0.1498347410943812,,
2026-02-09,9,weekday_special,4,408.0,0.1498347410943812,,
2026-02-09,10,weekday_special,4,408.0,0.1498347410943812,,
2026-02-09,11,weekday_special,4,408.0,0.1498347410943812,,
2026-02-09,12,weekday_special,4,408.0,0.1498347410943812,,
2026-02-09,13,weekday_special,4,408.0,0.1498347410943812,,
2026-02-09,14,weekday_special,4,408.0,0.1498347410943812,,
2026-02-09,15,weekday_special,4,537.0772966424369,0.1972373472796316,322.6932416060921,343.5951616700966
2026-02-09,16,weekday_special,4,571.402378676225,0.20984295948447484,85.81270508447042,249.28319567322137
2026-02-09,17,weekday_special,4,654.4296008984472,0.24033404366450503,207.56805555555556,249.9678976801792
2026-02-09,18,weekday_special,4,666.7932372620836,0.24487449036433478,30.90909090909091,115.92709834654944
2026-02-09,19,weekday_special,4,544.7274348725203,0.2000467994390453,17.528735632183906,85.0548826415642
2026-02-09,20,weekday_special,4,525.386563365048,0.1929440188634036,37.46052631578947,82.3643905735116
2026-02-09,21,weekday_special,4,447.63871809922773,0.16439174370151588,13.198442391004932,55.70140774445329
2026-02-09,22,weekday_special,4,440.67508173559133,0.16183440386911177,13.5,39.96975252424673
2026-02-09,23,weekday_special,4,433.6635874827178,0.15925948860915085,,31.08913629381783
2026-02-10,0,weekday_special,4,417.2421052631579,0.15322883043083288,23.105263157894736,52.38727442991444
2026-02-10,1,weekday_special,4,419.5296052631579,0.15406889653439512,5.71875,32.814726215723624
2026-02-10,2,weekday_special,4,427.3410995160315,0.156937605404345,19.528735632183903,73.22843971216591
2026-02-10,3,weekday_special,4,437.1627862630194,0.1605445414113182,24.55421686746988,107.49300013081424
2026-02-10,4,weekday_special,4,433.4867848959654,0.15919455927137913,13.91525974025974,95.18307531725858
2026-02-10,5,weekday_special,4,434.67144984441904,0.15962961801117115,8.680412371134022,146.55670126152495
2026-02-10,6,weekday_special,4,433.00711511578714,0.15901840437597764,15.367898810604183,93.04275736597448
2026-02-10,7,weekday_special,4,505.4032135725493,0.18560529326939013,205.54446300937528,304.3882032415937
2026-02-10,8,weekday_special,4,503.70052431059173,0.18497999423819014,9.658536585365852,72.01313807461142
2026-02-10,9,weekday_special,4,522.6456813435623,0.19193745183384586,56.04330495356037,143.9005722593798
2026-02-10,10,weekday_special,4,591.0947072976793,0.21707480987795788,186.49046369589664,322.4717825757006
2026-02-10,11,weekday_special,4,587.3282553961287,0.21569161050169985,196.128333255499,371.77959152027177
2026-02-10,12,weekday_special,4,664.0930613133609,0.24388287231485892,201.5705513784461,390.97333749234303
2026-02-10,13,weekday_special,4,878.8771122330827,0.32276059942456214,593.0034322528651,644.6923380449696
2026-02-10,14,weekday_special,4,982.4000832429912,0.3607785836367944,445.2978912206677,564.97391506055
2026-02-10,15,weekday_special,4,1081.9954665167143,0.3973541926245737,445.1167914398064,532.4063017798754
2026-02-10,16,weekday_special,4,1119.5689999031815,0.41115277264163846,295.5043848446147,414.58179046491864
2026-02-10,17,weekday_special,4,935.5894177594168,0.34358774063878694,133.05447689345314,254.61615333831563
2026-02-10,18,weekday_special,4,784.2693840781673,0.288016666940201,66.99780701754386,150.29933993461108
2026-02-10,19,weekday_special,4,622.374566236422,0.2285620882249071,40.37974683544304,107.75257948749253
2026-02-10,20,weekday_special,4,517.1222098889375,0.18990900106093922,32.373493975903614,98.29313232969912
2026-02-10,21,weekday_special,4,469.47936649997723,0.17241254737421124,13.947368421052632,58.63380727403356
2026-02-10,22,weekday_special,4,447.3002436929597,0.16426744167938293,11.55,45.43735775846952
2026-02-10,23,weekday_special,4,431.5483449587825,0.15848268268776441,1.0,25.525914829116715
2026-02-11,0,weekday_special,4,413.61914893617023,0.1518983286581602,14.047872340425531,38.645111853988624
2026-02-11,1,weekday_special,4,416.4234967622572,0.15292820299752374,7.010869565217392,27.586604677151655
2026-02-11,2,weekday_special,4,421.28442391457503,0.1547133396674899,12.1523178807947,37.887607501772465
2026-02-11,3,weekday_special,4,424.6545388571038,0.15595098746129407,8.425287356321839,30.85423220899088
2026-02-11,4,weekday_special,4,426.83555181181913,0.15675194704804227,19.50040472721386,38.47619813809351
2026-02-11,5,weekday_special,4,435.3618450113732,0.15988316012169415,28.326602564102565,56.04221201423931
2026-02-11,6,weekday_special,4,437.8638158447603,0.16080198892572908,18.40724496426251,49.22927792486854
2026-02-11,7,weekday_special,4,544.8541181072736,0.20009332284512435,275.90104301260516,252.11967110793245
2026-02-11,8,weekday_special,4,752.2920311760286,0.27627323950643723,538.0951873991012,470.4849546909289
2026-02-11,9,weekday_special,4,792.6997189268742,0.2911126400759729,129.34582194121668,233.02562267231707
2026-02-11,10,weekday_special,4,834.5026220947873,0.3064644223631242,122.91450288404522,265.73845215634367
2026-02-11,11,weekday_special,4,787.2976646029326,0.28912877877448867,157.88864928296866,317.6813918027908
2026-02-11,12,weekday_special,4,731.616646461474,0.2686803696149372,398.8926420454545,517.700294059067
2026-02-11,13,weekday_special,4,966.9787363920984,0.3551152171840244,717.7510467677776,729.9522695121177
2026-02-11,14,weekday_special,4,1123.9198886797758,0.4127506017920587,515.2673836032388,584.4892513720695
2026-02-11,15,weekday_special,4,1193.6648049064381,0.43836386518782156,332.25093984962405,490.8489182248976
2026-02-11,16,weekday_special,4,1099.6992952416679,0.4038557823142372,163.9788678835289,373.18908407977233
2026-02-11,17,weekday_special,4,862.4639551401617,0.3167329985825052,124.66269651401232,269.37033900586357
2026-02-11,18,weekday_special,4,684.0278513311616,0.25120376471948647,69.17712408073854,180.29405035473505
2026-02-11,19,weekday_special,4,564.5838856477222,0.20733892238256418,33.64102564102564,117.270068889375
2026-02-11,20,weekday_special,4,503.08390475937097,0.18475354563326146,10.228915662650602,80.95315997147736
2026-02-11,21,weekday_special,4,459.30942614547314,0.16867771801155826,15.226499979267736,71.35564229417741
2026-02-11,22,weekday_special,4,455.87148790558274,0.16741516265353754,60.58227848101266,87.73132546823607
2026-02-11,23,weekday_special,4,445.06788663793657,0.1634476263819084,6.632022471910112,39.147854641236336
2026-02-12,0,weekday_special,4,414.0253164556962,0.15204749043543747,15.063291139240508,46.757894016888145
2026-02-12,1,weekday_special,4,418.58486701749393,0.15372194895978478,11.398876404494382,36.22143092932936
2026-02-12,2,weekday_special,4,425.0835683161953,0.15610854510326672,16.246753246753247,45.03089909946155
2026-02-12,3,weekday_special,4,439.44260446077357,0.16138178643436416,35.897590361445786,51.09299562102706
2026-02-12,4,weekday_special,4,442.92866525058633,0.16266201441446432,23.778443113772457,43.74836008673938
2026-02-12,5,weekday_special,4,448.52416616884005,0.16471691743255235,25.3876287001287,52.14767638378939
2026-02-12,6,weekday_special,4,447.4634010949045,0.16432735993202516,13.594840561914324,44.591211073729795
2026-02-12,7,weekday_special,4,538.0837259402135,0.1976069504003722,262.44840247471825,264.3394059731458
2026-02-12,8,weekday_special,4,589.1570821629906,0.2163632325240509,151.46183367071524,170.2672947252394
2026-02-12,9,weekday_special,4,603.1267820807402,0.22149349323567397,60.31187849450261,120.5663041097198
2026-02-12,10,weekday_special,4,718.7624624925024,0.2639597732253039,302.68404159132007,314.14093659628963
2026-02-12,11,weekday_special,4,655.0032667412931,0.2405447178631264,103.05041309669522,177.81369926794665
2026-02-12,12,weekday_special,4,620.653588283159,0.22793007281790637,65.58763752537973,214.22197101514527
2026-02-12,13,weekday_special,4,629.7407816757274,0.23126727200724473,83.02986197592362,194.77558226589844
2026-02-12,14,weekday_special,4,522.9130124017133,0.19203562702964133,35.614618406285075,169.26999371978775
2026-02-12,15,weekday_special,4,509.1801096730701,0.18699232819429676,68.71815627508697,189.6522969725855
2026-02-12,16,weekday_special,4,502.1016336102866,0.18439281439966457,47.891447368421055,187.03065989787788
2026-02-12,17,weekday_special,4,502.792345225081,0.18464647272312928,84.75664101290964,198.60170121092648
2026-02-12,18,weekday_special,4,507.70325221932137,0.1864499640908268,47.89188589188589,183.04528047767775
2026-02-12,19,weekday_special,4,509.28265637595325,0.1870299876518374,72.66666666666667,159.52261184511417
2026-02-12,20,weekday_special,4,503.1610774285848,0.18478188667961248,32.5875,132.47534648716316
2026-02-12,21,weekday_special,4,495.92934207605254,0.18212608963498073,66.67730263157895,190.50123450020965
2026-02-12,22,weekday_special,4,580.3211774628879,0.21311831709984866,258.87147435897435,246.25111460229073
2026-02-12,23,weekday_special,4,639.0208474298846,0.23467530203080594,219.4158415841584,219.47861972065783
2026-02-13,0,weekday_special,4,417.4716049382716,0.15331311235338654,23.679012345679013,83.66623864580728
2026-02-13,1,weekday_special,4,427.6558154645874,0.15705318232265422,25.460526315789473,63.71548272223623
2026-02-13,2,weekday_special,4,445.3503392741112,0.1635513548564492,44.23630952380952,97.71934469606865
2026-02-13,3,weekday_special,4,454.94470071989434,0.1670748074623189,23.985903614457833,54.14249028854101
2026-02-13,4,weekday_special,4,465.6587166966554,0.17100944425143422,50.4640522875817,65.28427459113351
2026-02-13,5,weekday_special,4,490.17450617033967,0.18001267211543873,86.75,138.3584789763334
2026-02-13,6,weekday_special,4,532.5614096960785,0.19557892386929068,150.2035683381568,193.73746928723273
2026-02-13,7,weekday_special,4,603.3468728116989,0.22157431979864078,200.94956140350877,247.0594567597492
2026-02-13,8,weekday_special,4,755.95148938062,0.27761714630210066,431.9755937098845,427.18732134353183
2026-02-13,9,weekday_special,4,962.7954202677606,0.3535789277516565,603.8598272178513,567.6345477827867
2026-02-13,10,weekday_special,4,1028.5901284100808,0.37774150878078616,314.69033869395713,420.9425682420457
2026-02-13,11,weekday_special,4,1078.3453319784421,0.3960137098708932,325.3375703244124,496.38908363907746
2026-02-13,12,weekday_special,4,958.3048586338579,0.3519298048600286,131.8744103484235,419.6192317545934
2026-02-13,13,weekday_special,4,744.5982699578424,0.27344776715308206,69.59335552781246,331.1718251499131
2026-02-13,14,weekday_special,4,644.3955610536862,0.23664912267854799,64.18356643356643,356.182710577045
2026-02-13,15,weekday_special,4,589.8162684164987,0.21660531341039246,188.889338731444,409.2266785824431
2026-02-13,16,weekday_special,4,603.7628302369565,0.22172707684060097,166.74081489956777,361.3266202920803
2026-02-13,17,weekday_special,4,671.6836299942277,0.2466704480331354,239.39535492099043,377.1323182100291
2026-02-13,18,weekday_special,4,707.6795455260642,0.2598896604943313,154.17335526315787,251.33703276475063
2026-02-13,19,weekday_special,4,686.6807720588031,0.25217802866647193,136.39240506329114,175.09205647708592
2026-02-13,20,weekday_special,4,777.1677794323093,0.28540865935817455,392.9583333333333,347.1556010308931
2026-02-13,21,weekday_special,4,779.0777983834533,0.2861100985616795,244.17040229885055,253.59563949694905
2026-02-13,22,weekday_special,4,723.7295089097692,0.26578388134769343,15.802631578947368,95.67305273370376
2026-02-13,23,weekday_special,4,701.4843889897159,0.2576145387402555,80.77960526315789,141.15693431239504
2026-02-14,0,weekend_special,6,422.0923076923077,0.15501002853187945,35.23076923076923,194.24154697855155
