group,hour,mean,std,n,upper,lower
weekday_regular,0,116.72488342488046,102.0395696777345,50,320.80402278034944,0.0
weekday_regular,1,119.31477877259604,106.62107175062778,50,332.55692227385157,0.0
weekday_regular,2,96.50559721877912,80.38761011399914,50,257.2808174467774,0.0
weekday_regular,3,99.87842273904187,61.36136451632721,50,222.60115177169627,0.0
weekday_regular,4,107.53266880736109,62.81778143417451,50,233.1682316757101,0.0
weekday_regular,5,159.9958533799907,130.60509431127682,50,421.20604200254434,0.0
weekday_regular,6,254.45507427048048,150.00661344346074,50,554.4683011574019,0.0
weekday_regular,7,294.10725011736906,150.5422668846619,50,595.1917838866929,0.0
weekday_regular,8,281.5599214579058,141.80482099300966,49,565.1695634439251,0.0
weekday_regular,9,301.9113787843694,144.1577087849324,49,590.2267963542342,13.595961214504598
weekday_regular,10,318.53475485285605,141.8330289670401,49,602.2008127869362,34.86869691877587
weekday_regular,11,338.5115457325842,108.26167721199218,49,555.0349001565685,121.98819130859982
weekday_regular,12,327.301981583643,139.5067664457993,49,606.3155144752416,48.288448692044426
weekday_regular,13,305.54852540661045,108.72297402448761,49,522.9944734555856,88.10257735763523
weekday_regular,14,282.75736817692564,132.22888991762932,49,547.2151480121843,18.299588341667004
weekday_regular,15,277.2975632793411,139.85441522391272,49,557.0063937271666,0.0
weekday_regular,16,294.3675028958521,127.55043779908706,49,549.4683784940262,39.266627297677985
weekday_regular,17,289.26639976366516,117.75646850340372,49,524.7793367704726,53.753462756857715
weekday_regular,18,283.11145552185235,121.69751201594816,49,526.5064795537487,39.71643148995602
weekday_regular,19,251.99291497410053,153.6430954525892,49,559.2791058792789,0.0
weekday_regular,20,218.89366935756192,120.4769374672801,49,459.8475442921221,0.0
weekday_regular,21,153.32325684774682,70.16909529142862,49,293.6614474306041,12.985066264889582
weekday_regular,22,122.88216227687269,75.32002989408005,49,273.5222220650328,0.0
weekday_regular,23,107.3195957769034,91.8108669140751,49,290.9413296050536,0.0
weekday_special,0,106.3790165630033,83.25615340249641,14,272.8913233679961,0.0
weekday_special,1,84.92547088247412,61.52882463133989,14,207.9831201451539,0.0
weekday_special,2,87.02346911046358,52.972294856474306,14,192.9680588234122,0.0
weekday_special,3,97.33862779676035,75.62494954012993,14,248.58852687702023,0.0
weekday_special,4,94.78312374673,82.63017476851891,14,260.0434732837678,0.0
weekday_special,5,158.4846147598805,138.75093947107106,14,435.9864937020226,0.0
weekday_special,6,151.3826860529695,63.71076693147966,14,278.8042199159288,23.961152190010168
weekday_special,7,264.9094887169061,126.42135303090684,14,517.7521947787197,12.066782655092396
weekday_special,8,280.3657340078018,179.08273751147485,14,638.5312090307515,0.0
weekday_special,9,279.3462972217733,155.09569397950847,14,589.5376851807903,0.0
weekday_special,10,320.0743469014204,121.83008339461365,14,563.7345136906478,76.41418011219312
weekday_special,11,374.5871773096532,125.186435804431,14,624.9600489185152,124.21430570079121
weekday_special,12,372.104940313163,149.73979726130617,14,671.5845348357753,72.62534579055068
weekday_special,13,383.5710757043533,187.36775799322024,14,758.3065916907938,8.835559717912815
weekday_special,14,337.8917949722078,157.57452485102192,14,653.0408446742516,22.742745270163937
weekday_special,15,328.31514268011546,165.95378010836322,15,660.2227028968418,0.0
weekday_special,16,322.12853046217583,114.67672380978111,15,551.481978081738,92.77508284261361
weekday_special,17,318.26844847176756,97.71283014778491,15,513.6941087673374,122.84278817619773
weekday_special,18,272.22322112427327,131.70047770243502,15,535.6241765291434,8.82226571940322
weekday_special,19,206.52473267335796,84.84409553561242,15,376.2129237445828,36.83654160213311
weekday_special,20,172.74957600612976,86.80569779001209,15,346.36097158615394,0.0
weekday_special,21,165.31145121735682,140.15468478173767,15,445.62082078083216,0.0
weekday_special,22,118.1847113352475,66.0516777533166,15,250.2880668418807,0.0
weekday_special,23,119.19274175509527,67.45697896525611,15,254.1066996856075,0.0
weekend_regular,0,171.60585149305928,113.55415419248435,15,398.714159878028,0.0
weekend_regular,1,176.81964143572569,137.59882575931346,15,452.01729295435257,0.0
weekend_regular,2,145.0770292614741,105.0821409755919,15,355.24131121265793,0.0
weekend_regular,3,113.62491582011829,70.98594114390087,15,255.59679810792005,0.0
weekend_regular,4,116.3641948842435,67.11212234772431,15,250.58843957969214,0.0
weekend_regular,5,170.1592738969149,147.20098567964956,15,464.561245256214,0.0
weekend_regular,6,186.64139549125818,116.43641564717173,15,419.51422678560164,0.0
weekend_regular,7,230.53818858235772,139.37400065514444,15,509.2861898926466,0.0
weekend_regular,8,189.9913758307642,45.786413674564336,15,281.5642031798929,98.41854848163554
weekend_regular,9,256.67740773514845,113.29387061512904,15,483.2651489654065,30.089666504890374
weekend_regular,10,255.46805688967973,132.59156840269893,15,520.6511936950776,0.0
weekend_regular,11,302.97738189337,141.41997393387416,15,585.8173297611183,20.1374340256217
weekend_regular,12,269.89249696366574,114.96100360621078,15,499.8145041760873,39.97048975124417
weekend_regular,13,268.8826454137645,111.73741646119312,15,492.35747833615073,45.40781249137828
weekend_regular,14,257.772617009683,95.68488154312585,15,449.14238009593475,66.40285392343131
weekend_regular,15,243.98485043249886,108.30040481317076,15,460.5856600588404,27.384040806157344
weekend_regular,16,251.81767672904942,89.60862041455904,15,431.03491755816754,72.60043589993134
weekend_regular,17,282.23371260005763,106.62899771111066,15,495.49170802227894,68.97571717783632
weekend_regular,18,250.16808606906312,94.76686047507863,15,439.7018070192204,60.63436511890586
weekend_regular,19,211.36195365388278,172.98313583704234,15,557.3282253279674,0.0
weekend_regular,20,223.25466523506705,186.37498979793256,15,596.0046448309322,0.0
weekend_regular,21,143.35097276815594,109.24939714562504,15,361.849767059406,0.0
weekend_regular,22,112.84062064364001,101.34976373678961,15,315.54014811721925,0.0
weekend_regular,23,118.63125862167915,129.77661163445748,15,378.1844818905941,0.0
weekend_special,0,172.37189574927254,108.49260288236938,9,389.35710151401133,0.0
weekend_special,1,147.12710336378726,92.20933905015183,9,331.5457814640909,0.0
weekend_special,2,185.4947067742071,154.65368186424047,8,494.802070502688,0.0
weekend_special,3,141.59270855206924,106.70515086886228,9,355.0030102897938,0.0
weekend_special,4,148.6201213827596,124.70613632247027,9,398.03239402770015,0.0
weekend_special,5,127.960024078763,130.9522561600033,9,389.8645363987696,0.0
weekend_special,6,255.71342514338812,260.6346728016058,9,776.9827707465997,0.0
weekend_special,7,291.5019779844092,140.29509065698372,9,572.0921592983766,10.911796670441788
weekend_special,8,252.7366683044355,111.90848043478414,9,476.5536291740038,28.919707434867234
weekend_special,9,252.89016405100114,59.950849306018945,9,372.791862663039,132.98846543896326
weekend_special,10,242.68976630904996,73.9454702786168,9,390.58070686628355,94.79882575181637
weekend_special,11,258.97686599708834,83.62701697171487,9,426.23089994051804,91.7228320536586
weekend_special,12,301.27191331361564,121.89421518132235,9,545.0603436762603,57.48348295097094
weekend_special,13,333.32572791266193,103.29529623641557,9,539.916320385493,126.7351354398308
weekend_special,14,316.485750657102,122.72044610958439,9,561.9266428762708,71.04485843793324
weekend_special,15,283.12036592627277,116.54666029798413,9,516.213686522241,50.0270453303045
weekend_special,16,227.37027649765332,72.53850331729542,9,372.44728313224414,82.29326986306248
weekend_special,17,228.61671544096427,86.02734747188593,9,400.67141038473613,56.56202049719241
weekend_special,18,230.26268695386565,73.73835125199761,9,377.73938945786085,82.78598444987043
weekend_special,19,290.95413867792365,111.22264858091434,9,513.3994358397523,68.50884151609498
weekend_special,20,188.37718179695992,46.20719179140855,9,280.791565379777,95.96279821414282
weekend_special,21,133.59213615274518,35.60694673438292,9,204.80602962151102,62.37824268397934
weekend_special,22,111.38871596090284,43.66457122223623,9,198.7178584053753,24.059573516430376
weekend_special,23,123.28465669341477,102.33126054592081,9,327.9471777852564,0.0
