exact_date,stop_name,arrival_time,departure_time,trip_headsign,trip_id
2026-05-01,Mazantigade v Kolding Busterminal,09:16:00,09:16:00,Nørregyde v Julivænget (Kolding),158212397
2026-05-01,Mazantigade v Kolding Busterminal,09:16:00,09:18:00,Højhusene (Kolding),158209966
2026-05-01,Kolding Busterminal,09:20:00,09:20:00,Kolding Busterminal,158211378
2026-05-01,Kolding Busterminal,09:20:00,09:20:00,Bramdrupdam,158215209
2026-05-01,Kolding Busterminal,09:20:00,09:20:00,Billund Lufthavn / Billund Airport (bus),158208829
2026-05-01,Kolding Busterminal,09:22:00,09:22:00,Kolding Busterminal,158208747
2026-05-01,Kolding Busterminal,09:24:00,09:24:00,Kolding Busterminal,158211257
2026-05-01,Mazantigade v Kolding Busterminal,09:26:00,09:28:00,Albuen 40 (Kolding),158210073
2026-05-01,Mazantigade v Kolding Busterminal,09:29:00,09:29:00,Mazantigade v Kolding Busterminal,158214641
2026-05-01,Mazantigade v Kolding Busterminal,09:30:00,09:30:00,Knud Hansens Vej (Kolding),158212541
2026-05-01,Kolding Busterminal,09:30:00,09:30:00,Nordager v Vejlevej (Kolding),158206805
2026-05-01,Mazantigade v Kolding Busterminal,09:30:00,09:30:00,Drejensvej v Agerøvej (Kolding),158213748
2026-05-01,Kolding Busterminal,09:30:00,09:30:00,Sønder Stenderup,158211287
2026-05-01,Mazantigade v Kolding Busterminal,09:31:00,09:31:00,Nørregyde v Julivænget (Kolding),158212369
2026-05-01,Mazantigade v Kolding Busterminal,09:32:00,09:32:00,"Vonsild, Lykkeshave v Christiansmindeallé",158213785
2026-05-01,Mazantigade v Kolding Busterminal,09:31:00,09:33:00,Højhusene (Kolding),158209914
2026-05-01,Mazantigade v Kolding Busterminal,09:33:00,09:33:00,Knud Hansens Vej (Kolding),158214786
2026-05-01,Kolding Busterminal,09:33:00,09:33:00,Vejen Rutebilstation,158208901
2026-05-01,Mazantigade v Kolding Busterminal,09:38:00,09:38:00,Ankerhusvej v Dalbygårdsvej (Kolding),158212793
2026-05-01,Kolding Busterminal,09:36:00,09:38:00,Kolding Busterminal,158206935
2026-05-01,Mazantigade v Kolding Busterminal,09:39:00,09:39:00,Munkevænget v Munkevængets Skole,158212860
2026-05-01,Kolding Busterminal,09:40:00,09:40:00,Lunderskov St. (bus),158211188
2026-05-01,Mazantigade v Kolding Busterminal,09:41:00,09:43:00,Albuen 40 (Kolding),158210066
2026-05-01,Kolding Busterminal,09:43:00,09:43:00,Kolding Busterminal,158206982
2026-05-01,Kolding Busterminal,09:44:00,09:44:00,Kolding Busterminal,158208200
2026-05-01,Mazantigade v Kolding Busterminal,09:45:00,09:45:00,Knud Hansens Vej (Kolding),158212542
2026-05-01,Mazantigade v Kolding Busterminal,09:43:00,09:45:00,Knud Hansens Vej (Kolding),158214786
2026-05-01,Kolding Busterminal,09:45:00,09:45:00,Vejle Trafikcenter,158206883
2026-05-01,Mazantigade v Kolding Busterminal,09:46:00,09:46:00,Nørregyde v Julivænget (Kolding),158212405
2026-05-01,Kolding Busterminal,09:46:00,09:46:00,Kolding Busterminal,158206935
2026-05-01,Mazantigade v Kolding Busterminal,09:46:00,09:48:00,Højhusene (Kolding),158209923
