exact_date,stop_name,arrival_time,departure_time,trip_headsign,trip_id
2026-05-01,Kolding Busterminal,13:33:00,13:33:00,Vejen Rutebilstation,158208895
2026-05-01,Mazantigade v Kolding Busterminal,13:32:00,13:34:00,Højhusene (Kolding),158209977
2026-05-01,Kolding Busterminal,13:35:00,13:35:00,Kolding Busterminal,158211170
2026-05-01,Kolding Busterminal,13:36:00,13:36:00,Billund Lufthavn / Billund Airport (bus),158208811
2026-05-01,Kolding Busterminal,13:38:00,13:38:00,Kolding Busterminal,158208790
2026-05-01,Mazantigade v Kolding Busterminal,13:39:00,13:39:00,Ankerhusvej v Dalbygårdsvej (Kolding),158212808
2026-05-01,Mazantigade v Kolding Busterminal,13:40:00,13:40:00,Munkevænget v Munkevængets Skole,158212893
2026-05-01,Kolding Busterminal,13:41:00,13:41:00,Vamdrup St. (bus),158211179
2026-05-01,Kolding Busterminal,13:44:00,13:44:00,Kolding Busterminal,158208202
2026-05-01,Mazantigade v Kolding Busterminal,13:45:00,13:45:00,Knud Hansens Vej (Kolding),158212476
2026-05-01,Mazantigade v Kolding Busterminal,13:43:00,13:45:00,Knud Hansens Vej (Kolding),158214776
2026-05-01,Mazantigade v Kolding Busterminal,13:44:00,13:46:00,Albuen 40 (Kolding),158210042
