event_category,event_start,event_end,event_datetime,Time,Event URL
Gudstjeneste,2026-05-02,2026-05-02,2026-05-02 12:00:00,See description,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19628829
For børn,2026-05-02,2026-05-02,2026-05-02 12:00:00,See description,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19824475
Gudstjeneste,2026-05-02,2026-05-02,2026-05-02 09:30:00,09.30,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19628598
Gudstjeneste,2026-05-02,2026-05-02,2026-05-02 09:30:00,09.30,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19628612
Gudstjeneste,2026-05-02,2026-05-02,2026-05-02 09:30:00,09.30,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19628887
Gudstjeneste,2026-05-02,2026-05-02,2026-05-02 09:30:00,09.30,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19808724
Tegnefilm/Animation,2026-05-02,2026-05-02,2026-05-02 13:45:00,13.45,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19905945
Gudstjeneste,2026-05-02,2026-05-02,2026-05-02 12:00:00,See description,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19628726
"/jogging, Børn",2026-05-02,2026-05-02,2026-05-02 12:00:00,See description,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19920251
Komedie/Romantik,2026-05-02,2026-05-02,2026-05-02 10:10:00,10.10,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19907001
"Lyrik/oplæsning, Børn",2026-05-02,2026-05-02,2026-05-02 10:30:00,10.30,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19227473
Gudstjeneste,2026-05-02,2026-05-02,2026-05-02 10:30:00,10.30,https://www.kultunaut.dk/perl/arrmore/type-nynaut?ArrNr=19680797
