group,hour,mean,std,n,upper,lower
weekday_regular,0,0.16369340834428403,0.021291330408726737,50,0.20627606916173752,0.12111074752683056
weekday_regular,1,0.1779317954500707,0.040165923363766926,50,0.25826364217760456,0.09759994872253686
weekday_regular,2,0.17803404944987847,0.036970508122863247,50,0.25197506569560496,0.10409303320415197
weekday_regular,3,0.17592555493868045,0.026840291886346332,50,0.22960613871137311,0.12224497116598779
weekday_regular,4,0.17436489834129162,0.021959168483069724,50,0.21828323530743107,0.13044656137515218
weekday_regular,5,0.1810174469729765,0.023317911021278614,50,0.22765326901553373,0.13438162493041927
weekday_regular,6,0.20157930104325583,0.029619549163933306,50,0.26081839937112244,0.14234020271538922
weekday_regular,7,0.2192314181861279,0.03624981705119143,50,0.29173105228851076,0.14673178408374504
weekday_regular,8,0.22136504673258983,0.04165933854780438,50,0.3046837238281986,0.13804636963698108
weekday_regular,9,0.22127411946738643,0.043488966695641174,50,0.30825205285866875,0.13429618607610408
weekday_regular,10,0.22286701531268613,0.04018932546816676,50,0.30324566624901966,0.1424883643763526
weekday_regular,11,0.21958481737840213,0.03337201806743169,50,0.28632885351326554,0.15284078124353875
weekday_regular,12,0.2105933294846205,0.03777912000081576,50,0.28615156948625203,0.13503508948298898
weekday_regular,13,0.20325749058170095,0.03729908451389334,50,0.27785565960948766,0.12865932155391427
weekday_regular,14,0.20312538869376107,0.03216989430122644,50,0.26746517729621394,0.1387856000913082
weekday_regular,15,0.20578891635772845,0.03367401353097227,50,0.273136943419673,0.1384408892957839
weekday_regular,16,0.20901482334030752,0.031580074773405735,50,0.272174972887119,0.14585467379349604
weekday_regular,17,0.2115473070246691,0.033334482788624616,50,0.27821627260191834,0.14487834144741984
weekday_regular,18,0.2128705362560305,0.03868371479278343,50,0.29023796584159733,0.13550310667046364
weekday_regular,19,0.21402738117175193,0.045001711012798075,50,0.3040308031973481,0.12402395914615578
weekday_regular,20,0.20831421562099403,0.04527866835570029,50,0.2988715523323946,0.11775687890959345
weekday_regular,21,0.19517161889381376,0.02850602480069761,50,0.252183668495209,0.13815956929241854
weekday_regular,22,0.18502742322976348,0.02390420187938699,50,0.23283582698853747,0.1372190194709895
weekday_regular,23,0.17965754010175175,0.028140385292546363,50,0.23593831068684448,0.12337676951665902
weekday_special,0,0.16311248582763582,0.016270366552903825,15,0.19565321893344348,0.13057175272182817
weekday_special,1,0.173440079750557,0.027473972492374425,15,0.22838802473530584,0.11849213476580815
weekday_special,2,0.18264041982669535,0.034454951116612176,15,0.2515503220599197,0.113730517593471
weekday_special,3,0.19377331546579313,0.03941267417306555,15,0.2725986638119242,0.11494796711966203
weekday_special,4,0.1910928160471338,0.03572573883446446,15,0.2625442937160627,0.11964133837820487
weekday_special,5,0.19661637914311428,0.04150289381685021,15,0.27962216677681473,0.11361059150941386
weekday_special,6,0.20611678309086534,0.04581727470722876,15,0.2977513325053229,0.11448223367640782
weekday_special,7,0.2257425700828391,0.03896572865576694,15,0.303674027394373,0.1478111127713052
weekday_special,8,0.2481550509317302,0.04103424624733419,15,0.3302235434263986,0.16608655843706183
weekday_special,9,0.26024329329627005,0.054752665427193425,15,0.3697486241506569,0.1507379624418832
weekday_special,10,0.27286739506030616,0.05952518223550194,15,0.39191775953131003,0.1538170305893023
weekday_special,11,0.2792493795185079,0.06224814864185083,15,0.4037456768022096,0.15475308223480627
weekday_special,12,0.2769105352584933,0.057813808118639495,15,0.3925381514957723,0.1612829190212143
weekday_special,13,0.282488885417018,0.06298364713342387,15,0.4084561796838657,0.15652159115017025
weekday_special,14,0.27976443781012045,0.08057433791730872,15,0.4409131136447379,0.118615761975503
weekday_special,15,0.273169577479306,0.08549263852893509,15,0.4441548545371762,0.10218430042143581
